Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Yulo Dr,villa - 1,villa - 4,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Jocson St,villa - 1,villa - 2,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Jocson St (Rev),villa - 2,villa - 1,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Circumferential Rd 1,villa - 2,villa - 3,629.7,Active,3555.67,3566.98,678.38,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Circumferential Rd 1 (Rev),villa - 3,villa - 2,629.7,Active,3555.67,3566.98,678.38,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,2162.3,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 2162 vol,N/A
Yulo Dr (Rev),villa - 4,villa - 1,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Quezon St (Rev),villa - 4,villa - 3,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Molo Blvd (Rev),villa - 5,Molo - 6,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Osmena St (Rev),villa - 6,villa - 1,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Pakiad Rd (Rev),villa - 6,villa - 7,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Pakiad Rd,villa - 7,villa - 6,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Molo - Arevalo Connect,Molo - 3,villa - 3,2162.3,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 2162 vol,N/A
Locsin St,Molo - 3,Molo - 4,1198.2,Active,3555.67,3710.28,9276.49,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,531.3,Active,3555.67,3576.42,1244.75,No
Locsin St (Rev),Molo - 4,Molo - 3,430.65,Active,3555.67,3549.43,-374.08,Yes
Locsin St,Molo - 4,Molo - 5,470.2,Active,3555.67,3558.19,151.09,No
M.H Del Pilar,Molo - 4,Molo - 9,728.0,Active,3555.67,3557.7,121.99,No
Locsin St (Rev),Molo - 5,Molo - 4,430.65,Active,3555.67,3549.43,-374.08,Yes
Locsin St,Molo - 5,Molo - 6,470.2,Active,3555.67,3557.21,92.65,No
Timawa St,Molo - 5,Proper - 2,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Locsin St (Rev),Molo - 6,Molo - 5,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Molo Blvd,Molo - 6,villa - 5,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Molo Blvd 2,Molo - 6,Proper - 4,470.2,Active,3555.67,3557.21,92.65,No
Rotunda,Molo - 7,Molo - 8,767.55,Active,3555.67,3553.21,-147.5,Yes
San Marcos St,Molo - 8,Molo - 3,767.55,Active,3555.67,3550.72,-297.05,Yes
M.H Del Pilar,Molo - 8,Molo - 9,0.0,Inactive,3555.67,3548.85,-408.94,Yes
M.H Del Pilar (Rev),Molo - 9,Molo - 4,0.0,Inactive,3555.67,3548.85,-408.94,Yes
M.H Del Pilar,Molo - 9,Molo - 10,728.0,Active,3555.67,3557.7,121.99,No
Molo - Proper Connect,Molo - 10,Proper - 1,728.0,Active,3555.67,3557.7,121.99,No
M.H Del Pilar,Molo - 10,Molo - 7,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Gen Luna - Molo Connect,Proper - 1,Molo - 7,767.55,Active,3555.67,3553.21,-147.5,Yes
Infante St 1,Proper - 1,Proper - 2,861.74,Active,3555.67,3568.75,784.56,No
Gen Luna St 1,Proper - 1,Proper - 7,1688.5,Active,3555.67,3575.01,1160.46,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2400.58,Active,3555.67,3631.27,4536.23,No
Timawa St (Rev),Proper - 2,Molo - 5,430.65,Active,3555.67,3549.58,-365.59,Yes
Infante St 1 (Rev),Proper - 2,Proper - 1,787.59,Active,3555.67,3566.87,672.33,No
Infante St 2,Proper - 2,Proper - 3,485.44,Active,3555.67,3556.01,20.68,No
Delgado St,Proper - 2,Proper - 10,864.0,Active,3555.67,3560.02,261.19,No
Infante St 2 (Rev),Proper - 3,Proper - 2,469.68,Active,3555.67,3567.5,709.75,No
Infante St 3,Proper - 3,Proper - 4,485.44,Active,3555.67,3556.01,20.68,No
Molo Blvd 2 (Rev),Proper - 4,Molo - 6,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Baluarte - Oton Blvd,Proper - 4,Proper - 5,955.64,Active,3555.67,3568.69,781.33,No
Rizal St 1,Proper - 5,Proper - 3,469.68,Active,3555.67,3568.4,763.6,No
Rizal St 2,Proper - 5,Proper - 6,955.64,Active,3555.67,3568.69,781.33,No
Rizal St 2 (Rev),Proper - 6,Proper - 5,469.68,Active,3555.67,3568.4,763.6,No
Rizal St 3,Proper - 6,Proper - 14,212.04,Active,3555.67,3553.44,-133.92,Yes
Ledesma St,Proper - 6,Proper - 11,235.56,Active,3555.67,3547.75,-475.07,Yes
Gen Luna St 1 (Rev),Proper - 7,Proper - 1,1735.55,Active,3555.67,3567.4,703.78,No
Gen Luna St 2,Proper - 7,Proper - 8,2289.88,Active,3555.67,3581.91,1574.28,No
Bonifacio Drive,Proper - 7,lapaz - 10,1369.92,Active,3555.67,3580.85,1511.0,No
Gen Luna St 2 (Rev),Proper - 8,Proper - 7,2697.97,Active,3555.67,3578.8,1387.57,No
Gen Luna St 3,Proper - 8,Proper - 9,2311.37,Active,3555.67,3610.43,3285.45,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,110.14,Active,3555.67,3557.8,127.99,No
Gen Luna St 3 (Rev),Proper - 9,Proper - 8,2719.45,Active,3555.67,3617.28,3696.81,No
Muelle Loney St 1,Proper - 9,Proper - 12,1641.76,Active,3555.67,3593.78,2286.81,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,2445.2,Active,3555.67,3674.18,7110.39,No
Ruperto Montinola St 1 (Rev),Proper - 10,Proper - 8,110.14,Active,3555.67,3558.11,146.54,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,974.14,Active,3555.67,3573.1,1045.84,No
Delgado St (Rev),Proper - 10,Proper - 2,1236.25,Active,3555.67,3556.46,47.69,No
