Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,0.0,Inactive,3002.82,3005.07,134.63,No
Yulo Dr,villa - 1,villa - 4,0.0,Inactive,3002.82,3005.07,134.63,No
Jocson St,villa - 1,villa - 2,0.0,Inactive,3002.82,3005.07,134.63,No
Jocson St (Rev),villa - 2,villa - 1,0.0,Inactive,3002.82,3005.07,134.63,No
Circumferential Rd 1,villa - 2,villa - 3,629.7,Active,3002.82,3023.19,1221.95,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,634.2,CRITICAL CUT-EDGE,3002.82,DISCONNECTED,Dropped 634 vol,N/A
Quezon St,villa - 3,villa - 4,0.0,Inactive,3002.82,3005.07,134.63,No
Circumferential Rd 1 (Rev),villa - 3,villa - 2,629.7,Active,3002.82,3023.19,1221.95,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,2162.3,CRITICAL CUT-EDGE,3002.82,DISCONNECTED,Dropped 630 vol,N/A
Yulo Dr (Rev),villa - 4,villa - 1,0.0,Inactive,3002.82,3005.07,134.63,No
Quezon St (Rev),villa - 4,villa - 3,0.0,Inactive,3002.82,3005.07,134.63,No
Molo Blvd (Rev),villa - 5,Molo - 6,0.0,Inactive,3002.82,3005.07,134.63,No
Osmena St (Rev),villa - 6,villa - 1,0.0,Inactive,3002.82,3005.07,134.63,No
Pakiad Rd (Rev),villa - 6,villa - 7,0.0,Inactive,3002.82,3005.07,134.63,No
Pakiad Rd,villa - 7,villa - 6,0.0,Inactive,3002.82,3005.07,134.63,No
Molo - Arevalo Connect,Molo - 3,villa - 3,2162.3,CRITICAL CUT-EDGE,3002.82,DISCONNECTED,Dropped 630 vol,N/A
Locsin St,Molo - 3,Molo - 4,1198.2,Active,3002.82,3115.35,6751.85,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,690.99,Active,3002.82,3032.13,1758.76,No
Locsin St (Rev),Molo - 4,Molo - 3,470.2,Active,3002.82,3007.37,272.96,No
Locsin St,Molo - 4,Molo - 5,470.2,Active,3002.82,3011.56,524.45,No
M.H Del Pilar,Molo - 4,Molo - 9,728.0,Active,3002.82,3015.32,750.08,No
Locsin St (Rev),Molo - 5,Molo - 4,470.2,Active,3002.82,3007.37,272.96,No
Locsin St,Molo - 5,Molo - 6,470.2,Active,3002.82,3006.93,246.55,No
Timawa St,Molo - 5,Proper - 2,0.0,Inactive,3002.82,3005.07,134.63,No
Locsin St (Rev),Molo - 6,Molo - 5,0.37,Inactive,3002.82,3005.07,134.72,No
Molo Blvd,Molo - 6,villa - 5,0.0,Inactive,3002.82,3005.07,134.63,No
Molo Blvd 2,Molo - 6,Proper - 4,470.2,Active,3002.82,3006.93,246.55,No
Rotunda,Molo - 7,Molo - 8,728.0,Active,3002.82,3016.28,807.54,No
San Marcos St,Molo - 8,Molo - 3,728.0,Active,3002.82,3008.49,340.35,No
M.H Del Pilar,Molo - 8,Molo - 9,0.0,Inactive,3002.82,3005.07,134.63,No
M.H Del Pilar (Rev),Molo - 9,Molo - 4,0.0,Inactive,3002.82,3005.07,134.63,No
M.H Del Pilar,Molo - 9,Molo - 10,728.0,Active,3002.82,3015.32,750.08,No
Molo - Proper Connect,Molo - 10,Proper - 1,728.0,Active,3002.82,3015.32,750.08,No
M.H Del Pilar,Molo - 10,Molo - 7,0.0,Inactive,3002.82,3005.07,134.63,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,728.0,Active,3002.82,3016.28,807.54,No
Infante St 1,Proper - 1,Proper - 2,1437.7,Active,3002.82,3021.97,1148.62,No
Gen Luna St 1,Proper - 1,Proper - 7,871.4,Active,3002.82,3019.62,1008.17,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,2065.63,Active,3002.82,3105.34,6151.24,No
Timawa St (Rev),Proper - 2,Molo - 5,469.83,Active,3002.82,3006.3,208.95,No
Infante St 1 (Rev),Proper - 2,Proper - 1,1436.91,Active,3002.82,3024.79,1318.16,No
Infante St 2,Proper - 2,Proper - 3,481.1,Active,3002.82,3008.72,353.72,No
Delgado St,Proper - 2,Proper - 10,956.6,Active,3002.82,3015.34,750.82,No
Infante St 2 (Rev),Proper - 3,Proper - 2,976.35,Active,3002.82,3009.33,390.76,No
Infante St 3,Proper - 3,Proper - 4,481.47,Active,3002.82,3008.72,353.81,No
Molo Blvd 2 (Rev),Proper - 4,Molo - 6,0.37,Inactive,3002.82,3005.07,134.72,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,1439.0,Active,3002.82,3019.8,1018.54,No
Rizal St 1,Proper - 5,Proper - 3,1464.43,Active,3002.82,3019.45,997.64,No
Rizal St 2,Proper - 5,Proper - 6,816.6,Active,3002.82,3009.39,393.98,No
Rizal St 2 (Rev),Proper - 6,Proper - 5,842.81,Active,3002.82,3008.49,340.02,No
Rizal St 3,Proper - 6,Proper - 14,803.05,Active,3002.82,3005.6,166.87,No
Ledesma St,Proper - 6,Proper - 11,13.55,Active,3002.82,3006.46,218.02,No
