From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
jaro - 11,jaro - 10,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd (Rev),159.7,1100,0.145
jaro - 12,jaro - 14,Iloilo-Capiz Rd - Buhang Flyover (Rev),0.0,1100,0.0
jaro - 12,jaro - 10,Buhang Flyover - Balabago Rd,0.0,2200,0.0
jaro - 12,jaro - 13,Buhang Flyover,0.0,1100,0.0
jaro - 13,jaro - 15,Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),0.0,2200,0.0
jaro - 13,jaro - 14,Buhang Flyover - Iloilo-Capiz Rd,0.0,1100,0.0
jaro - 13,jaro - 12,Buhang Flyover (Rev),0.0,1100,0.0
jaro - 14,jaro - 13,Buhang Flyover - Iloilo-Capiz Rd (Rev),0.0,1100,0.0
jaro - 14,jaro - 12,Iloilo-Capiz Rd - Buhang Flyover,0.0,1100,0.0
jaro - 14,jaro - 21,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,0.0,2200,0.0
jaro - 14,jaro - 9,Iloilo Capiz Rd - Balabago Rd,2086.24,2200,0.948
jaro - 15,jaro - 22,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,0.0,2200,0.0
jaro - 15,jaro - 13,Iloilo Radial By-Pass Rd 4 - Buhang Flyover,0.0,2200,0.0
jaro - 15,jaro - 23,Iloilo Radial By-Pass Rd 4,0.0,2200,0.0
jaro - 16,jaro - 17,Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),0.0,4400,0.0
jaro - 16,jaro - 24,Old Iloilo-Capiz Rd - Pavia,0.0,4400,0.0
jaro - 17,mandurriao - 1,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,4400,0.0
jaro - 17,jaro - 16,Old Iloilo-Capiz Rd - Old Lopez Jaena St,0.0,4400,0.0
jaro - 17,jaro - 18,Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),0.0,2200,0.0
jaro - 18,jaro - 8,Lopez Jaena St - Old Lopez Jaena St (Rev),0.0,1100,0.0
jaro - 18,jaro - 17,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2200,0.0
jaro - 18,jaro - 16,Old Lopez Jaena St - Old Iloilo-Capiz Rd,0.0,2200,0.0
jaro - 19,jaro - 11,Lapaz - Monfort Blvd,1309.5,2200,0.595
jaro - 19,lapaz - 9,Monfort Blvd (Rev),1438.1,2200,0.654
jaro - 20,jaro - 11,Monfort Blvd - Leganes (Rev),1152.8,2200,0.524
jaro - 21,jaro - 14,Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 (Rev),0.0,2200,0.0
jaro - 22,jaro - 15,Iloilo Circumferential - Iloilo Radial By-Pass Rd 4 (Rev),0.0,2200,0.0
jaro - 23,jaro - 15,Iloilo Radial By-Pass Rd 4 (Rev),0.0,2200,0.0
jaro - 24,jaro - 16,Old Iloilo-Capiz Rd - Pavia (Rev),0.0,4400,0.0
jaro - 25,jaro - 3,Jereos St (Rev),370.2,1100,0.337
lapaz - 1,lapaz - 3,Luna St - Huervana St (Rev),92.2,2200,0.042
lapaz - 1,lapaz - 10,Luna St - Esplanade 5,761.8,2200,0.346
lapaz - 1,lapaz - 2,Huervana St - Rizal St,1097.49,4400,0.249
lapaz - 2,lapaz - 3,Rizal St - Luna St,669.6,4400,0.152
lapaz - 2,lapaz - 4,Huervana St - Burgos St,1097.49,2200,0.499
lapaz - 2,lapuz - 2,Rizal St - Huervana St,427.1,2200,0.194
lapaz - 3,jaro - 1,Luna St,92.2,2200,0.042
