Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,3555.67,3585.1,1765.71,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 4325 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Locsin St,Molo - 3,Molo - 4,Two-Way,1198.2,Active,3555.67,3710.21,9272.6,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,531.3,Active,3555.67,3604.36,2921.36,No
Locsin St,Molo - 4,Molo - 5,Two-Way,470.2,Active,3555.67,3558.8,188.03,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,728.0,Active,3555.67,3557.7,121.99,No
Locsin St,Molo - 5,Molo - 6,Two-Way,470.2,Active,3555.67,3557.21,92.65,No
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,3555.67,3549.58,-365.59,Yes
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,470.2,Active,3555.67,3557.21,92.65,No
Rotunda,Molo - 7,Molo - 8,One-Way,767.55,Active,3555.67,3553.21,-147.5,Yes
San Marcos St,Molo - 8,Molo - 3,One-Way,767.55,Active,3555.67,3550.72,-297.05,Yes
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,728.0,Active,3555.67,3557.7,121.99,No
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,728.0,Active,3555.67,3557.7,121.99,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,767.55,Active,3555.67,3553.21,-147.5,Yes
Infante St 1,Proper - 1,Proper - 2,Two-Way,861.74,Active,3555.67,3613.24,3454.37,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,1688.5,Active,3555.67,3596.73,2463.9,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,2400.58,Active,3555.67,3712.64,9418.43,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,485.44,Active,3555.67,3574.18,1110.87,No
Delgado St,Proper - 2,Proper - 10,Two-Way,864.0,Active,3555.67,3577.79,1326.99,No
