Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Infante St 3,Proper - 3,Proper - 4,One-Way,485.44,Active,3555.67,3556.01,20.68,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,955.64,Active,3555.67,3568.69,781.33,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,469.68,Active,3555.67,3568.4,763.6,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,955.64,Active,3555.67,3582.03,1581.64,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,212.04,Active,3555.67,3558.3,158.13,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,235.56,Active,3555.67,3547.75,-475.07,Yes
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,2289.88,Active,3555.67,3611.37,3342.03,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,1369.92,Active,3555.67,3604.15,2908.58,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,2311.37,Active,3555.67,3657.08,6084.75,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,110.14,Active,3555.67,3573.93,1095.85,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1641.76,Active,3555.67,3627.93,4335.62,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,2445.2,Active,3555.67,3795.2,14371.84,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,974.14,Active,3555.67,3577.57,1313.77,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,1668.82,Active,3555.67,3578.3,1358.08,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,1772.59,Active,3555.67,3688.49,7968.94,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,3310.57,Active,3555.67,3958.89,24193.53,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,146.25,Active,3555.67,3591.41,2144.37,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,1626.34,Active,3555.67,3632.99,4639.0,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,358.29,Active,3555.67,3610.84,3310.52,No
Duran St,Proper - 15,Proper - 16,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,358.29,Active,3555.67,3610.84,3310.52,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,1385.3,Active,3555.67,3556.09,25.16,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,241.04,Active,3555.67,3550.88,-287.39,Yes
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,157.98,Active,3555.67,3610.84,3310.52,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,1029.7,Active,3555.67,3661.96,6377.72,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,858.28,Active,3555.67,3668.95,6796.81,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,664.6,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 665 vol,N/A
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,1659.4,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 3319 vol,N/A
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,664.6,CRITICAL CUT-EDGE,3555.67,DISCONNECTED,Dropped 665 vol,N/A
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
R Mapa St - Mandurriao - Jaro Rd,mandurriao - 4,mandurriao - 2,One-Way,664.6,Active,3555.67,3593.22,2253.31,No
R Mapa St,mandurriao - 4,mandurriao - 6,Two-Way,475.5,Active,3555.67,3587.69,1921.06,No
R Mapa St - Extension,mandurriao - 6,mandurriao - 7,Two-Way,55.8,Active,3555.67,3553.73,-116.57,Yes
Mandurriao-Sn Miguel Rd - Iloilo Circumferential Rd 1,mandurriao - 9,mandurriao - 12,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (1),mandurriao - 10,mandurriao - 12,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Circumferential Rd 1 - Mandurriao-Sn Miguel Rd (2),mandurriao - 11,mandurriao - 12,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
E Lopez St,jaro - 1,jaro - 4,Two-Way,301.02,Active,3555.67,3565.16,569.35,No
Luna St (Rev),jaro - 1,lapaz - 3,Two-Way,234.36,Active,3555.67,3565.16,569.35,No
Commission Civil St,jaro - 2,jaro - 5,Two-Way,541.7,Active,3555.67,3572.8,1027.58,No
Burgos St (Rev),jaro - 2,lapaz - 7,Two-Way,616.5,Active,3555.67,3572.8,1027.58,No
Jereos St,jaro - 3,jaro - 25,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Jereos St (Rev),jaro - 3,lapaz - 6,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
E Lopez St - Plaza Rizal St - Commission Civil St,jaro - 4,jaro - 5,One-Way,1249.02,Active,3555.67,3580.1,1465.65,No
Commission Civil St - Plaza Rizal St - Iloilo-Capiz Rd,jaro - 5,jaro - 6,One-Way,1174.22,Active,3555.67,3632.99,4639.17,No
Plaza Rizal St - Balabago Rd,jaro - 6,jaro - 9,One-Way,1288.2,Active,3555.67,3727.16,10289.25,No
Iloilo-Capiz Rd - Plaza Rizal St - El 98 St,jaro - 6,jaro - 7,One-Way,902.4,Active,3555.67,3609.67,3239.79,No
El 98 St - Plaza Rizal St - E Lopez St,jaro - 7,jaro - 4,One-Way,1182.36,Active,3555.67,3603.92,2895.12,No
Lopez Jaena St - Plaza Rizal St,jaro - 8,jaro - 6,One-Way,902.4,Active,3555.67,3599.73,2643.62,No
Lopez Jaena St - Old Lopez Jaena St,jaro - 8,jaro - 18,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Capiz Rd - Balabago Rd (Rev),jaro - 9,jaro - 14,Two-Way,1445.34,Active,3555.67,3703.94,8896.07,No
Balabago Rd,jaro - 9,jaro - 10,Two-Way,1368.76,Active,3555.67,3702.39,8803.53,No
Iloilo-Capiz Rd - Lopez Jaena St,jaro - 9,jaro - 8,One-Way,1363.0,Active,3555.67,3739.61,11036.27,No
Buhang Flyover - Balabago Rd (Rev),jaro - 10,jaro - 12,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1 - Monfort Blvd,jaro - 10,jaro - 11,Two-Way,1368.76,Active,3555.67,3636.63,4857.81,No
Monfort Blvd - Leganes,jaro - 11,jaro - 20,Two-Way,1152.8,Active,3555.67,3562.28,396.83,No
Lapaz - Monfort Blvd (Rev),jaro - 11,jaro - 19,Two-Way,1254.1,Active,3555.67,3956.36,24041.58,No
Iloilo-Capiz Rd - Buhang Flyover (Rev),jaro - 12,jaro - 14,Two-Way,1466.94,Active,3555.67,3576.16,1229.23,No
Buhang Flyover,jaro - 12,jaro - 13,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Radial By-Pass Rd 4 - Buhang Flyover (Rev),jaro - 13,jaro - 15,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Buhang Flyover - Iloilo-Capiz Rd,jaro - 13,jaro - 14,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo-Capiz Rd - Iloilo Circumferential Rd 1,jaro - 14,jaro - 21,Two-Way,0.0,Inactive,3555.67,3548.84,-409.85,Yes
Iloilo Circumferential - Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 22,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Radial By-Pass Rd 4,jaro - 15,jaro - 23,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),jaro - 16,jaro - 17,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1418.7,Active,3555.67,4125.75,34205.05,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,301.02,Active,3555.67,3577.5,1310.06,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,938.05,Active,3555.67,3604.15,2908.58,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,1068.9,Active,3555.67,3572.98,1038.8,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,703.69,Active,3555.67,3568.55,772.99,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,1068.9,Active,3555.67,3679.38,7422.6,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,365.21,Active,3555.67,3549.27,-384.24,Yes
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,1685.4,Active,3555.67,3667.47,6707.99,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,1610.6,Active,3555.67,3647.55,5512.79,No
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,1685.4,Active,3555.67,3762.72,12423.01,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,1610.6,Active,3555.67,3647.55,5512.79,No
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,1685.4,Active,3555.67,3619.57,3834.11,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,1685.4,Active,3555.67,3762.72,12423.01,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,130.9,Active,3555.67,3568.88,792.63,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,2445.2,Active,3555.67,4050.05,29662.67,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,584.1,Active,3555.67,3586.85,1870.88,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,0.0,Inactive,3555.67,3548.85,-408.94,Yes
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,584.1,Active,3555.67,3571.37,941.94,No
