From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,439.17,2200,0.2
villa - 1,villa - 4,Yulo Dr,0.64,2200,0.0
villa - 1,villa - 2,Jocson St,659.4,2200,0.3
villa - 2,villa - 1,Jocson St (Rev),659.4,2200,0.3
villa - 2,villa - 3,Circumferential Rd 1,1506.76,2200,0.685
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2200,0.288
villa - 3,villa - 4,Quezon St,218.94,2200,0.1
villa - 3,villa - 2,Circumferential Rd 1 (Rev),1506.76,2200,0.685
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),1944.0,2200,0.884
villa - 4,villa - 1,Yulo Dr (Rev),0.64,2200,0.0
villa - 4,villa - 3,Quezon St (Rev),218.94,2200,0.1
villa - 5,Molo - 6,Molo Blvd (Rev),219.59,2200,0.1
villa - 6,villa - 1,Osmena St (Rev),439.17,2200,0.2
villa - 6,villa - 7,Pakiad Rd (Rev),219.59,1100,0.2
villa - 7,villa - 6,Pakiad Rd,219.59,1100,0.2
Molo - 3,villa - 3,Molo - Arevalo Connect,1944.0,2200,0.884
Molo - 3,Molo - 4,Locsin St,2664.99,2200,1.211
Molo - 3,mandurriao - 6,New Carpenter Bridge,1697.48,1100,1.543
Molo - 4,Molo - 3,Locsin St (Rev),1435.59,2200,0.653
Molo - 4,Molo - 5,Locsin St,1440.18,2200,0.655
Molo - 4,Molo - 9,M.H Del Pilar,1331.94,2200,0.605
Molo - 5,Molo - 4,Locsin St (Rev),1479.78,2200,0.673
Molo - 5,Molo - 6,Locsin St,1236.86,2200,0.562
Molo - 5,Proper - 2,Timawa St,192.93,2200,0.088
Molo - 6,Molo - 5,Locsin St (Rev),387.11,2200,0.176
Molo - 6,villa - 5,Molo Blvd,219.59,2200,0.1
Molo - 6,Proper - 4,Molo Blvd 2,1397.93,2200,0.635
Molo - 7,Molo - 8,Rotunda,1734.32,2200,0.788
Molo - 8,Molo - 3,San Marcos St,1341.57,4400,0.305
Molo - 8,Molo - 9,M.H Del Pilar,392.74,1100,0.357
Molo - 9,Molo - 4,M.H Del Pilar (Rev),62.93,2200,0.029
Molo - 9,Molo - 10,M.H Del Pilar,1661.75,4400,0.378
Molo - 10,Proper - 1,Molo - Proper Connect,1422.81,2200,0.647
Molo - 10,Molo - 7,M.H Del Pilar,238.93,1100,0.217
Proper - 1,Molo - 7,Gen Luna - Molo Connect,1495.38,4400,0.34
Proper - 1,Proper - 2,Infante St 1,1202.98,2200,0.547
Proper - 1,Proper - 7,Gen Luna St 1,1048.37,2200,0.477
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),1327.03,2200,0.603
Proper - 2,Molo - 5,Timawa St (Rev),1082.28,2200,0.492
Proper - 2,Proper - 1,Infante St 1 (Rev),993.95,2200,0.452
Proper - 2,Proper - 3,Infante St 2,460.33,2200,0.209
Proper - 2,Proper - 10,Delgado St,857.69,2200,0.39
Proper - 3,Proper - 2,Infante St 2 (Rev),1010.93,2200,0.46
Proper - 3,Proper - 4,Infante St 3,820.94,2200,0.373
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),548.17,2200,0.249
Proper - 4,Proper - 5,Baluarte - Oton Blvd,1670.69,2200,0.759
Proper - 5,Proper - 3,Rizal St 1,1371.54,2200,0.623
Proper - 5,Proper - 6,Rizal St 2,1749.51,2200,0.795
Proper - 6,Proper - 5,Rizal St 2 (Rev),1450.36,2200,0.659
Proper - 6,Proper - 14,Rizal St 3,954.07,2200,0.434
Proper - 6,Proper - 11,Ledesma St,971.56,2200,0.442
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),1150.32,2200,0.523
Proper - 7,Proper - 8,Gen Luna St 2,1662.94,2200,0.756
Proper - 7,lapaz - 10,Bonifacio Drive,2237.15,2200,1.017
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),2251.83,2200,1.024
Proper - 8,Proper - 9,Gen Luna St 3,1346.79,13200,0.102
Proper - 8,Proper - 10,Ruperto Montinola St 1,1359.96,2200,0.618
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),1776.69,13200,0.135
Proper - 9,Proper - 12,Muelle Loney St 1,1338.33,2200,0.608
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,1287.97,2200,0.585
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),1518.95,2200,0.69
Proper - 10,Proper - 11,Ruperto Montinola St 2,2242.63,2200,1.019
Proper - 10,Proper - 2,Delgado St (Rev),987.41,2200,0.449
Proper - 11,Proper - 6,Ledesma St (Rev),473.18,2200,0.215
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),2531.34,2200,1.151
Proper - 11,Proper - 12,Arroyo St (Rev),791.96,1100,0.72
Proper - 11,Proper - 13,JM Basa St 1,2230.5,2200,1.014
Proper - 12,Proper - 11,Arroyo St,719.78,1100,0.654
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1348.77,2200,0.613
Proper - 12,Proper - 18,Muelle Loney St 2,2012.15,2200,0.915
Proper - 13,Proper - 11,JM Basa St 1 (Rev),2093.02,2200,0.951
Proper - 13,Proper - 14,JM Basa St 2,1534.47,2200,0.697
Proper - 13,Proper - 17,Dela Rama St 1,1066.24,1100,0.969
Proper - 14,Proper - 6,Rizal St 3 (Rev),1153.29,2200,0.524
Proper - 14,Proper - 13,JM Basa St 2 (Rev),1405.69,2200,0.639
Proper - 14,Proper - 15,General Hughes St 1,2216.81,2200,1.008
Proper - 15,Proper - 14,General Hughes St 1 (Rev),2287.25,2200,1.04
Proper - 15,Proper - 16,Duran St,661.9,1100,0.602
Proper - 15,Proper - 22,General Hughes St 2,893.01,2200,0.406
Proper - 16,Proper - 15,Duran St (Rev),661.9,1100,0.602
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1057.54,1100,0.961
Proper - 17,Proper - 20,Dela Rama St 2,661.9,1100,0.602
Proper - 17,Proper - 18,Blumentritt 1,1400.1,1100,1.273
Proper - 17,Proper - 19,Blumentritt 2,1092.69,1100,0.993
Proper - 18,Proper - 17,Blumentritt 1 (Rev),1461.84,1100,1.329
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),1950.41,2200,0.887
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2200,0.0
Proper - 19,Proper - 17,Blumentritt 2 (Rev),1022.25,1100,0.929
Proper - 19,Proper - 18,Muelle Loney St 3 (Rev),0.0,2200,0.0
Proper - 19,Proper - 21,Muelle Loney St 4,430.79,2200,0.196
Proper - 20,Proper - 17,Dela Rama St 2 (Rev),661.9,1100,0.602
Proper - 21,Proper - 19,Muelle Loney St 4 (Rev),360.35,2200,0.164
Proper - 21,Proper - 22,Fort San Pedro Dr,301.55,2200,0.137
Proper - 22,Proper - 15,General Hughes St 2 (Rev),963.45,2200,0.438
Proper - 22,Proper - 21,Fort San Pedro Dr (Rev),231.11,2200,0.105
mandurriao - 1,Proper - 1,Old Iloilo - Capiz Rd,1506.68,2200,0.685
mandurriao - 1,mandurriao - 2,Mandurriao - Jaro Rd,943.32,2200,0.429
