Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Old Iloilo-Capiz Rd - Pavia,jaro - 16,jaro - 24,Two-Way,125.92,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 252 vol,N/A
Old Lopez Jaena St - Old Iloilo-Capiz Rd (Rev),jaro - 17,jaro - 18,Two-Way,218.04,Active,3585.28,3617.32,1922.53,No
Old Lopez Jaena St - Old Iloilo-Capiz Rd,jaro - 18,jaro - 16,One-Way,0.0,Inactive,3585.28,3607.98,1362.08,No
Monfort Blvd (Rev),jaro - 19,lapaz - 9,Two-Way,1352.26,Active,3585.28,4116.96,31900.81,No
Luna St - Huervana St (Rev),lapaz - 1,lapaz - 3,Two-Way,446.16,Active,3585.28,3642.65,3442.36,No
Luna St - Esplanade 5,lapaz - 1,lapaz - 10,Two-Way,1677.25,Active,3585.28,3655.69,4224.45,No
Huervana St - Rizal St,lapaz - 1,lapaz - 2,One-Way,1792.16,Active,3585.28,3625.35,2403.96,No
Rizal St - Luna St,lapaz - 2,lapaz - 3,One-Way,1487.64,Active,3585.28,3625.31,2401.95,No
Huervana St - Burgos St,lapaz - 2,lapaz - 4,Two-Way,2007.0,Active,3585.28,3748.05,9766.33,No
Rizal St - Huervana St,lapaz - 2,lapuz - 2,Two-Way,891.69,Active,3585.28,3622.38,2225.88,No
Huervana St - Jereos St,lapaz - 4,lapaz - 5,One-Way,2156.58,Active,3585.28,3730.17,8693.28,No
Divinagracia St,lapaz - 4,lapuz - 1,Two-Way,298.23,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 596 vol,N/A
Jereos St - Huervana Ext,lapaz - 5,lapaz - 6,One-Way,2094.85,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 417 vol,N/A
Lopez Jaena St,lapaz - 5,lapaz - 8,Two-Way,1551.38,Active,3585.28,3700.21,6895.81,No
Huervana Ext,lapaz - 6,lapaz - 7,One-Way,2094.85,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 417 vol,N/A
Burgos St - Huervana St,lapaz - 7,lapaz - 4,One-Way,2270.13,Active,3585.28,3669.18,5034.05,No
Baldoza St,lapaz - 8,lapaz - 9,Two-Way,1435.64,Active,3585.28,3687.3,6121.31,No
Coastal Rd,lapaz - 9,lapuz - 7,Two-Way,128.33,Active,3585.28,3625.1,2389.18,No
Railroad St,lapuz - 1,lapuz - 3,Two-Way,149.12,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 298 vol,N/A
Rizal St - Ferry Terminal Access Rd,lapuz - 2,lapuz - 4,Two-Way,877.97,Active,3585.28,3779.7,11665.04,No
New Iloilo Ferry Terminal Access Rd,lapuz - 4,lapuz - 5,Two-Way,149.12,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 298 vol,N/A
Rizal St - Iloilo Airport Direct Rd,lapuz - 4,lapuz - 6,Two-Way,646.49,Active,3585.28,3706.19,7254.39,No
Lapuz Mansaya Loboc Rd,lapuz - 6,lapuz - 7,Two-Way,283.07,Active,3585.28,3634.06,2926.71,No
Iloilo Airport Direct Rd,lapuz - 6,lapuz - 8,Two-Way,238.33,CRITICAL CUT-EDGE,3585.28,DISCONNECTED,Dropped 477 vol,N/A
