Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,3002.82,3041.31,2309.28,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,3002.82,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,CRITICAL CUT-EDGE,3002.82,DISCONNECTED,Dropped 1259 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Locsin St,Molo - 3,Molo - 4,Two-Way,1198.2,Active,3002.82,3117.65,6889.89,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,690.99,Active,3002.82,3056.82,3240.04,No
Locsin St,Molo - 4,Molo - 5,Two-Way,470.2,Active,3002.82,3013.87,662.8,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,728.0,Active,3002.82,3015.32,750.08,No
Locsin St,Molo - 5,Molo - 6,Two-Way,470.2,Active,3002.82,3006.93,246.63,No
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,3002.82,3006.3,208.95,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,470.2,Active,3002.82,3006.93,246.63,No
Rotunda,Molo - 7,Molo - 8,One-Way,728.0,Active,3002.82,3016.28,807.54,No
San Marcos St,Molo - 8,Molo - 3,One-Way,728.0,Active,3002.82,3008.49,340.35,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,3002.82,3005.07,134.63,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,728.0,Active,3002.82,3015.32,750.08,No
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,728.0,Active,3002.82,3015.32,750.08,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,3002.82,3005.07,134.63,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,728.0,Active,3002.82,3016.28,807.54,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,1437.7,Active,3002.82,3041.69,2332.08,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,871.4,Active,3002.82,3031.9,1744.87,No
