From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,0.0,2200,0.0
villa - 1,villa - 4,Yulo Dr,0.0,2200,0.0
villa - 1,villa - 2,Jocson St,0.0,2200,0.0
villa - 2,villa - 1,Jocson St (Rev),0.0,2200,0.0
villa - 2,villa - 3,Circumferential Rd 1,629.7,2200,0.286
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2200,0.288
villa - 3,villa - 4,Quezon St,0.0,2200,0.0
villa - 3,villa - 2,Circumferential Rd 1 (Rev),629.7,2200,0.286
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),2162.3,2200,0.983
villa - 4,villa - 1,Yulo Dr (Rev),0.0,2200,0.0
villa - 4,villa - 3,Quezon St (Rev),0.0,2200,0.0
villa - 5,Molo - 6,Molo Blvd (Rev),0.0,2200,0.0
villa - 6,villa - 1,Osmena St (Rev),0.0,2200,0.0
villa - 6,villa - 7,Pakiad Rd (Rev),0.0,1100,0.0
villa - 7,villa - 6,Pakiad Rd,0.0,1100,0.0
Molo - 3,villa - 3,Molo - Arevalo Connect,2162.3,2200,0.983
Molo - 3,Molo - 4,Locsin St,1198.2,2200,0.545
Molo - 3,mandurriao - 6,New Carpenter Bridge,531.3,1100,0.483
Molo - 4,Molo - 3,Locsin St (Rev),430.65,2200,0.196
Molo - 4,Molo - 5,Locsin St,470.2,2200,0.214
Molo - 4,Molo - 9,M.H Del Pilar,728.0,2200,0.331
Molo - 5,Molo - 4,Locsin St (Rev),430.65,2200,0.196
Molo - 5,Molo - 6,Locsin St,470.2,2200,0.214
Molo - 5,Proper - 2,Timawa St,0.0,2200,0.0
Molo - 6,Molo - 5,Locsin St (Rev),0.0,2200,0.0
Molo - 6,villa - 5,Molo Blvd,0.0,2200,0.0
Molo - 6,Proper - 4,Molo Blvd 2,470.2,2200,0.214
Molo - 7,Molo - 8,Rotunda,767.55,2200,0.349
Molo - 8,Molo - 3,San Marcos St,767.55,4400,0.174
Molo - 8,Molo - 9,M.H Del Pilar,0.0,1100,0.0
Molo - 9,Molo - 4,M.H Del Pilar (Rev),0.0,2200,0.0
Molo - 9,Molo - 10,M.H Del Pilar,728.0,4400,0.165
Molo - 10,Proper - 1,Molo - Proper Connect,728.0,2200,0.331
Molo - 10,Molo - 7,M.H Del Pilar,0.0,1100,0.0
Proper - 1,Molo - 7,Gen Luna - Molo Connect,767.55,4400,0.174
Proper - 1,Proper - 2,Infante St 1,861.74,2200,0.392
Proper - 1,Proper - 7,Gen Luna St 1,1688.5,2200,0.767
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),2400.58,2200,1.091
Proper - 2,Molo - 5,Timawa St (Rev),430.65,2200,0.196
Proper - 2,Proper - 1,Infante St 1 (Rev),787.59,2200,0.358
Proper - 2,Proper - 3,Infante St 2,485.44,2200,0.221
Proper - 2,Proper - 10,Delgado St,864.0,2200,0.393
Proper - 3,Proper - 2,Infante St 2 (Rev),469.68,2200,0.213
Proper - 3,Proper - 4,Infante St 3,485.44,2200,0.221
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),0.0,2200,0.0
Proper - 4,Proper - 5,Baluarte - Oton Blvd,955.64,2200,0.434
Proper - 5,Proper - 3,Rizal St 1,469.68,2200,0.213
Proper - 5,Proper - 6,Rizal St 2,955.64,2200,0.434
Proper - 6,Proper - 5,Rizal St 2 (Rev),469.68,2200,0.213
Proper - 6,Proper - 14,Rizal St 3,212.04,2200,0.096
Proper - 6,Proper - 11,Ledesma St,235.56,2200,0.107
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),1735.55,2200,0.789
Proper - 7,Proper - 8,Gen Luna St 2,2289.88,2200,1.041
Proper - 7,lapaz - 10,Bonifacio Drive,1369.92,2200,0.623
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),2697.97,2200,1.226
Proper - 8,Proper - 9,Gen Luna St 3,2311.37,13200,0.175
Proper - 8,Proper - 10,Ruperto Montinola St 1,110.14,2200,0.05
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),2719.45,13200,0.206
Proper - 9,Proper - 12,Muelle Loney St 1,1641.76,2200,0.746
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,2445.2,2200,1.111
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),110.14,2200,0.05
Proper - 10,Proper - 11,Ruperto Montinola St 2,974.14,2200,0.443
Proper - 10,Proper - 2,Delgado St (Rev),1236.25,2200,0.562
Proper - 11,Proper - 6,Ledesma St (Rev),0.0,2200,0.0
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),1346.39,2200,0.612
Proper - 11,Proper - 12,Arroyo St (Rev),1668.82,1100,1.517
Proper - 11,Proper - 13,JM Basa St 1,1772.59,2200,0.806
Proper - 12,Proper - 11,Arroyo St,1734.97,1100,1.577
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1684.63,2200,0.766
Proper - 12,Proper - 18,Muelle Loney St 2,3310.57,2200,1.505
Proper - 13,Proper - 11,JM Basa St 1 (Rev),1843.12,2200,0.838
Proper - 13,Proper - 14,JM Basa St 2,146.25,2200,0.066
Proper - 13,Proper - 17,Dela Rama St 1,1626.34,1100,1.478
Proper - 14,Proper - 6,Rizal St 3 (Rev),32.48,2200,0.015
Proper - 14,Proper - 13,JM Basa St 2 (Rev),125.5,2200,0.057
Proper - 14,Proper - 15,General Hughes St 1,358.29,2200,0.163
Proper - 15,Proper - 14,General Hughes St 1 (Rev),157.98,2200,0.072
Proper - 15,Proper - 16,Duran St,0.0,1100,0.0
Proper - 15,Proper - 22,General Hughes St 2,358.29,2200,0.163
Proper - 16,Proper - 15,Duran St (Rev),0.0,1100,0.0
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),1717.62,1100,1.561
Proper - 17,Proper - 20,Dela Rama St 2,0.0,1100,0.0
Proper - 17,Proper - 18,Blumentritt 1,1385.3,1100,1.259
Proper - 17,Proper - 19,Blumentritt 2,241.04,1100,0.219
Proper - 18,Proper - 17,Blumentritt 1 (Rev),1411.01,1100,1.283
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),3419.6,2200,1.554
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2200,0.0
